pollster,sample_size,numeric_grade,pollscore,state,transparency_score,end_date,party,answer,pct
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,IND,West,0
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,DEM,Harris,47.4
Mitchell,589,2.4,-0.2,Michigan,7,2024-10-14,REP,Trump,48.5
TIPP,1198,1.8,-0.4,National,3,2024-10-14,DEM,Harris,49
TIPP,1198,1.8,-0.4,National,3,2024-10-14,REP,Trump,46
Patriot Polling,803,1.1,0.6,Wisconsin,5,2024-10-14,DEM,Harris,49
Patriot Polling,803,1.1,0.6,Wisconsin,5,2024-10-14,REP,Trump,50
Emerson,1000,2.9,-1.1,California,7,2024-10-14,DEM,Harris,61
Emerson,1000,2.9,-1.1,California,7,2024-10-14,REP,Trump,36.6
Redfield & Wilton Strategies,620,1.8,0.4,North Carolina,9,2024-10-14,DEM,Harris,46
Redfield & Wilton Strategies,620,1.8,0.4,North Carolina,9,2024-10-14,REP,Trump,48
Redfield & Wilton Strategies,620,1.8,0.4,North Carolina,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,620,1.8,0.4,North Carolina,9,2024-10-14,GRE,Stein,0
Redfield & Wilton Strategies,1141,1.8,0.4,Arizona,9,2024-10-14,DEM,Harris,46
Redfield & Wilton Strategies,1141,1.8,0.4,Arizona,9,2024-10-14,REP,Trump,48
Redfield & Wilton Strategies,1141,1.8,0.4,Arizona,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,1141,1.8,0.4,Arizona,9,2024-10-14,GRE,Stein,1
Redfield & Wilton Strategies,1009,1.8,0.4,Florida,9,2024-10-14,DEM,Harris,44
Redfield & Wilton Strategies,1009,1.8,0.4,Florida,9,2024-10-14,REP,Trump,50
Redfield & Wilton Strategies,1009,1.8,0.4,Florida,9,2024-10-14,LIB,Oliver,0
Redfield & Wilton Strategies,1009,1.8,0.4,Florida,9,2024-10-14,GRE,Stein,1
Redfield & Wilton Strategies,637,1.8,0.4,Georgia,9,2024-10-14,DEM,Harris,47
Redfield & Wilton Strategies,637,1.8,0.4,Georgia,9,2024-10-14,REP,Trump,47
Redfield & Wilton Strategies,637,1.8,0.4,Georgia,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,637,1.8,0.4,Georgia,9,2024-10-14,GRE,Stein,2
Redfield & Wilton Strategies,682,1.8,0.4,Michigan,9,2024-10-14,DEM,Harris,47
Redfield & Wilton Strategies,682,1.8,0.4,Michigan,9,2024-10-14,REP,Trump,47
Redfield & Wilton Strategies,682,1.8,0.4,Michigan,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,682,1.8,0.4,Michigan,9,2024-10-14,GRE,Stein,0
Redfield & Wilton Strategies,544,1.8,0.4,Minnesota,9,2024-10-14,DEM,Harris,51
Redfield & Wilton Strategies,544,1.8,0.4,Minnesota,9,2024-10-14,REP,Trump,43
Redfield & Wilton Strategies,544,1.8,0.4,Minnesota,9,2024-10-14,LIB,Oliver,0
Redfield & Wilton Strategies,544,1.8,0.4,Minnesota,9,2024-10-14,GRE,Stein,1
Redfield & Wilton Strategies,838,1.8,0.4,Nevada,9,2024-10-14,DEM,Harris,47
Redfield & Wilton Strategies,838,1.8,0.4,Nevada,9,2024-10-14,REP,Trump,47
Redfield & Wilton Strategies,838,1.8,0.4,Nevada,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,838,1.8,0.4,Nevada,9,2024-10-14,GRE,Stein,0
Redfield & Wilton Strategies,382,1.8,0.4,New Mexico,9,2024-10-14,DEM,Harris,49
Redfield & Wilton Strategies,382,1.8,0.4,New Mexico,9,2024-10-14,REP,Trump,45
Redfield & Wilton Strategies,382,1.8,0.4,New Mexico,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,382,1.8,0.4,New Mexico,9,2024-10-14,GRE,Stein,2
Redfield & Wilton Strategies,1649,1.8,0.4,Pennsylvania,9,2024-10-14,DEM,Harris,48
Redfield & Wilton Strategies,1649,1.8,0.4,Pennsylvania,9,2024-10-14,REP,Trump,48
Redfield & Wilton Strategies,1649,1.8,0.4,Pennsylvania,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,1649,1.8,0.4,Pennsylvania,9,2024-10-14,GRE,Stein,0
Redfield & Wilton Strategies,641,1.8,0.4,Wisconsin,9,2024-10-14,DEM,Harris,48
Redfield & Wilton Strategies,641,1.8,0.4,Wisconsin,9,2024-10-14,REP,Trump,47
Redfield & Wilton Strategies,641,1.8,0.4,Wisconsin,9,2024-10-14,LIB,Oliver,1
Redfield & Wilton Strategies,641,1.8,0.4,Wisconsin,9,2024-10-14,GRE,Stein,1
Cygnal,600,2.1,-1.1,North Carolina,4,2024-10-14,DEM,Harris,46.6
Cygnal,600,2.1,-1.1,North Carolina,4,2024-10-14,REP,Trump,47.2
Cygnal,600,2.1,-1.1,North Carolina,4,2024-10-14,LIB,Oliver,0.9
Cygnal,600,2.1,-1.1,North Carolina,4,2024-10-14,CON,Terry,0.1
Cygnal,600,2.1,-1.1,North Carolina,4,2024-10-14,GRE,Stein,0.4
Cygnal,600,2.1,-1.1,North Carolina,4,2024-10-14,IND,West,0.6
Beacon/Shaw,1110,2.8,-1.1,National,9,2024-10-14,DEM,Harris,48
Beacon/Shaw,1110,2.8,-1.1,National,9,2024-10-14,REP,Trump,50
Beacon/Shaw,870,2.8,-1.1,National,9,2024-10-14,DEM,Harris,48
Beacon/Shaw,870,2.8,-1.1,National,9,2024-10-14,REP,Trump,50
Quinnipiac,1328,2.8,-0.5,Georgia,9,2024-10-14,DEM,Harris,45
Quinnipiac,1328,2.8,-0.5,Georgia,9,2024-10-14,REP,Trump,52
Quinnipiac,1328,2.8,-0.5,Georgia,9,2024-10-14,GRE,Stein,1
Quinnipiac,1328,2.8,-0.5,Georgia,9,2024-10-14,LIB,Oliver,1
Quinnipiac,1328,2.8,-0.5,Georgia,9,2024-10-14,DEM,Harris,46
Quinnipiac,1328,2.8,-0.5,Georgia,9,2024-10-14,REP,Trump,52
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,DEM,Harris,49
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,REP,Trump,47
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,GRE,Stein,0
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,LIB,Oliver,1
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,IND,West,0
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,CON,Terry,0
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,DEM,Harris,50
Quinnipiac,1031,2.8,-0.5,North Carolina,9,2024-10-14,REP,Trump,47
SurveyUSA,703,2.8,-1.3,Washington,8,2024-10-14,DEM,Harris,57
SurveyUSA,703,2.8,-1.3,Washington,8,2024-10-14,REP,Trump,35
East Carolina University,701,2.6,-0.5,Georgia,7,2024-10-14,DEM,Harris,45.8
East Carolina University,701,2.6,-0.5,Georgia,7,2024-10-14,REP,Trump,48.9
East Carolina University,701,2.6,-0.5,Georgia,7,2024-10-14,LIB,Oliver,0.4
East Carolina University,701,2.6,-0.5,Georgia,7,2024-10-14,GRE,Stein,1.4
Fairleigh Dickinson,806,2.6,-0.6,National,9.5,2024-10-14,DEM,Harris,50
Fairleigh Dickinson,806,2.6,-0.6,National,9.5,2024-10-14,REP,Trump,47
ActiVote,400,NA,NA,Maryland,8,2024-10-14,DEM,Harris,62.9
ActiVote,400,NA,NA,Maryland,8,2024-10-14,REP,Trump,37.1
TIPP,1212,1.8,-0.4,National,3,2024-10-13,DEM,Harris,49
TIPP,1212,1.8,-0.4,National,3,2024-10-13,REP,Trump,46
HarrisX/Harris Poll,2596,1.5,-0.1,National,7,2024-10-13,DEM,Harris,49
HarrisX/Harris Poll,2596,1.5,-0.1,National,7,2024-10-13,REP,Trump,48
HarrisX/Harris Poll,2596,1.5,-0.1,National,7,2024-10-13,IND,West,1
HarrisX/Harris Poll,2596,1.5,-0.1,National,7,2024-10-13,GRE,Stein,1
HarrisX/Harris Poll,2596,1.5,-0.1,National,7,2024-10-13,DEM,Harris,51
HarrisX/Harris Poll,2596,1.5,-0.1,National,7,2024-10-13,REP,Trump,49
HarrisX/Harris Poll,3145,1.5,-0.1,National,7,2024-10-13,DEM,Harris,51
HarrisX/Harris Poll,3145,1.5,-0.1,National,7,2024-10-13,REP,Trump,49
HarrisX/Harris Poll,3145,1.5,-0.1,National,7,2024-10-13,DEM,Harris,49
HarrisX/Harris Poll,3145,1.5,-0.1,National,7,2024-10-13,REP,Trump,48
HarrisX/Harris Poll,3145,1.5,-0.1,National,7,2024-10-13,IND,West,2
HarrisX/Harris Poll,3145,1.5,-0.1,National,7,2024-10-13,GRE,Stein,1
Morning Consult,8647,1.9,-0.3,National,3,2024-10-13,DEM,Harris,50
Morning Consult,8647,1.9,-0.3,National,3,2024-10-13,REP,Trump,46
SoCal Strategies,692,NA,NA,Michigan,9,2024-10-13,DEM,Harris,49
SoCal Strategies,692,NA,NA,Michigan,9,2024-10-13,REP,Trump,48
Ipsos,807,2.8,-0.9,National,9.5,2024-10-13,DEM,Harris,45
Ipsos,807,2.8,-0.9,National,9.5,2024-10-13,REP,Trump,42
Ipsos,769,2.8,-0.9,National,9.5,2024-10-13,DEM,Harris,47
Ipsos,769,2.8,-0.9,National,9.5,2024-10-13,REP,Trump,44
Ipsos,938,2.8,-0.9,National,9.5,2024-10-13,DEM,Harris,41
Ipsos,938,2.8,-0.9,National,9.5,2024-10-13,REP,Trump,37
Trafalgar Group,1090,0.7,0.6,Arizona,4,2024-10-13,DEM,Harris,46
Trafalgar Group,1090,0.7,0.6,Arizona,4,2024-10-13,REP,Trump,47.5
Trafalgar Group,1085,0.7,0.6,North Carolina,4,2024-10-13,DEM,Harris,44.6
Trafalgar Group,1085,0.7,0.6,North Carolina,4,2024-10-13,REP,Trump,46.5
Trafalgar Group,1088,0.7,0.6,Nevada,4,2024-10-13,DEM,Harris,45.6
Trafalgar Group,1088,0.7,0.6,Nevada,4,2024-10-13,REP,Trump,44.8
ActiVote,400,NA,NA,Washington,8,2024-10-13,DEM,Harris,60
ActiVote,400,NA,NA,Washington,8,2024-10-13,REP,Trump,40
Morning Consult,8901,1.9,-0.3,National,3,2024-10-12,DEM,Harris,50
Morning Consult,8901,1.9,-0.3,National,3,2024-10-12,REP,Trump,46
Elway,401,1.9,-0.2,Washington,6,2024-10-12,DEM,Harris,57
Elway,401,1.9,-0.2,Washington,6,2024-10-12,REP,Trump,32
Morning Consult,8902,1.9,-0.3,National,3,2024-10-11,DEM,Harris,50
Morning Consult,8902,1.9,-0.3,National,3,2024-10-11,REP,Trump,46
HarrisX,2010,1.5,-0.1,National,6,2024-10-11,DEM,Harris,51
HarrisX,2010,1.5,-0.1,National,6,2024-10-11,REP,Trump,49
HarrisX,1692,1.5,-0.1,National,6,2024-10-11,DEM,Harris,51
HarrisX,1692,1.5,-0.1,National,6,2024-10-11,REP,Trump,49
HarrisX,1622,1.5,-0.1,National,6,2024-10-11,DEM,Harris,51
HarrisX,1622,1.5,-0.1,National,6,2024-10-11,REP,Trump,49
HarrisX,2010,1.5,-0.1,National,6,2024-10-11,DEM,Harris,49
HarrisX,2010,1.5,-0.1,National,6,2024-10-11,REP,Trump,46
HarrisX,2010,1.5,-0.1,National,6,2024-10-11,IND,West,2
HarrisX,2010,1.5,-0.1,National,6,2024-10-11,GRE,Stein,2
HarrisX,1692,1.5,-0.1,National,6,2024-10-11,DEM,Harris,49
HarrisX,1692,1.5,-0.1,National,6,2024-10-11,REP,Trump,48
HarrisX,1692,1.5,-0.1,National,6,2024-10-11,IND,West,1
HarrisX,1692,1.5,-0.1,National,6,2024-10-11,GRE,Stein,1
HarrisX,1622,1.5,-0.1,National,6,2024-10-11,DEM,Harris,49
HarrisX,1622,1.5,-0.1,National,6,2024-10-11,REP,Trump,49
HarrisX,1622,1.5,-0.1,National,6,2024-10-11,IND,West,1
HarrisX,1622,1.5,-0.1,National,6,2024-10-11,GRE,Stein,1
YouGov,2712,3,-1.1,National,9,2024-10-11,DEM,Harris,51
YouGov,2712,3,-1.1,National,9,2024-10-11,REP,Trump,48
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,DEM,Harris,44.9
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,REP,Trump,44
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,IND,Kennedy,2.6
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,GRE,Stein,2.1
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,IND,West,0.5
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,IND,Kishore,0
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,CON,Terry,0
MRG (Marketing Resource Group),600,1.8,0.1,Michigan,6,2024-10-11,LIB,Oliver,1.2
Morning Consult,9556,1.9,-0.3,National,3,2024-10-10,DEM,Harris,50
Morning Consult,9556,1.9,-0.3,National,3,2024-10-10,REP,Trump,46
Marist,1401,2.9,-0.9,National,9,2024-10-10,DEM,Harris,52
Marist,1401,2.9,-0.9,National,9,2024-10-10,REP,Trump,47
Marist,1708,2.9,-0.9,National,9,2024-10-10,DEM,Harris,51
Marist,1708,2.9,-0.9,National,9,2024-10-10,REP,Trump,48
RMG Research,2945,2.3,-0.4,National,5,2024-10-10,DEM,Harris,50
RMG Research,2945,2.3,-0.4,National,5,2024-10-10,REP,Trump,47
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,DEM,Harris,50
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,REP,Trump,47
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,DEM,Harris,49
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,REP,Trump,45
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,GRE,Stein,2
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,LIB,Oliver,1
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,DEM,Harris,50
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,REP,Trump,47
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,DEM,Harris,49
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,REP,Trump,45
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,GRE,Stein,1
Siena/NYT,857,3,-1.5,Pennsylvania,9,2024-10-10,LIB,Oliver,0
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,DEM,Harris,46
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,REP,Trump,51
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,DEM,Harris,45
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,REP,Trump,50
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,GRE,Stein,1
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,LIB,Oliver,0
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,DEM,Harris,45
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,REP,Trump,51
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,DEM,Harris,44
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,REP,Trump,49
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,GRE,Stein,2
Siena/NYT,808,3,-1.5,Arizona,9,2024-10-10,LIB,Oliver,1
RMG Research,731,2.3,-0.4,Georgia,5,2024-10-10,DEM,Harris,47
RMG Research,731,2.3,-0.4,Georgia,5,2024-10-10,REP,Trump,50
UMass Amherst/YouGov,700,2.4,-0.4,Massachusetts,7.5,2024-10-10,DEM,Harris,56
UMass Amherst/YouGov,700,2.4,-0.4,Massachusetts,7.5,2024-10-10,REP,Trump,30
UMass Amherst/YouGov,700,2.4,-0.4,Massachusetts,7.5,2024-10-10,GRE,Stein,2
UMass Amherst/YouGov,700,2.4,-0.4,Massachusetts,7.5,2024-10-10,LIB,Oliver,1
UMass Amherst/YouGov,700,2.4,-0.4,Massachusetts,7.5,2024-10-10,PSL,De la Cruz,1
UMass Amherst/YouGov,700,2.4,-0.4,Massachusetts,7.5,2024-10-10,IND,Ayyadurai,1
American Pulse,1193,NA,NA,Pennsylvania,6,2024-10-10,DEM,Harris,47.6
American Pulse,1193,NA,NA,Pennsylvania,6,2024-10-10,REP,Trump,49
American Pulse,1193,NA,NA,Pennsylvania,6,2024-10-10,GRE,Stein,1.7
American Pulse,1193,NA,NA,Pennsylvania,6,2024-10-10,LIB,Oliver,0.2
American Pulse,1193,NA,NA,Pennsylvania,6,2024-10-10,DEM,Harris,49.5
American Pulse,1193,NA,NA,Pennsylvania,6,2024-10-10,REP,Trump,50.5
University of Massachusetts Lowell/YouGov,600,2.9,-1,New Hampshire,9,2024-10-10,DEM,Harris,50
University of Massachusetts Lowell/YouGov,600,2.9,-1,New Hampshire,9,2024-10-10,REP,Trump,41
University of Massachusetts Lowell/YouGov,600,2.9,-1,New Hampshire,9,2024-10-10,GRE,Stein,1
University of Massachusetts Lowell/YouGov,600,2.9,-1,New Hampshire,9,2024-10-10,LIB,Oliver,1
YouGov,1091,3,-1.1,Texas,9,2024-10-10,DEM,Harris,46
YouGov,1091,3,-1.1,Texas,9,2024-10-10,REP,Trump,51
YouGov,1091,3,-1.1,Texas,9,2024-10-10,GRE,Stein,2
YouGov,1091,3,-1.1,Texas,9,2024-10-10,LIB,Oliver,1
Marquette Law School,780,3,-1.1,National,10,2024-10-10,DEM,Harris,50
Marquette Law School,780,3,-1.1,National,10,2024-10-10,REP,Trump,50
Marquette Law School,780,3,-1.1,National,10,2024-10-10,DEM,Harris,43
Marquette Law School,780,3,-1.1,National,10,2024-10-10,REP,Trump,39
Marquette Law School,780,3,-1.1,National,10,2024-10-10,IND,Kennedy,10
Marquette Law School,780,3,-1.1,National,10,2024-10-10,LIB,Oliver,3
Marquette Law School,780,3,-1.1,National,10,2024-10-10,GRE,Stein,1
Marquette Law School,780,3,-1.1,National,10,2024-10-10,IND,West,3
Marquette Law School,652,3,-1.1,National,10,2024-10-10,DEM,Harris,50
Marquette Law School,652,3,-1.1,National,10,2024-10-10,REP,Trump,50
Marquette Law School,652,3,-1.1,National,10,2024-10-10,DEM,Harris,44
Marquette Law School,652,3,-1.1,National,10,2024-10-10,REP,Trump,41
Marquette Law School,652,3,-1.1,National,10,2024-10-10,IND,Kennedy,9
Marquette Law School,652,3,-1.1,National,10,2024-10-10,LIB,Oliver,2
Marquette Law School,652,3,-1.1,National,10,2024-10-10,GRE,Stein,1
Marquette Law School,652,3,-1.1,National,10,2024-10-10,IND,West,2
U. Houston,1329,2.2,-0.3,Texas,4,2024-10-10,DEM,Harris,46
U. Houston,1329,2.2,-0.3,Texas,4,2024-10-10,REP,Trump,51
U. Houston,1329,2.2,-0.3,Texas,4,2024-10-10,GRE,Stein,1
U. Houston,1329,2.2,-0.3,Texas,4,2024-10-10,LIB,Oliver,0
ActiVote,400,NA,NA,California,8,2024-10-10,DEM,Harris,63.5
ActiVote,400,NA,NA,California,8,2024-10-10,REP,Trump,36.5
ActiVote,400,NA,NA,Missouri,8,2024-10-10,DEM,Harris,42.8
ActiVote,400,NA,NA,Missouri,8,2024-10-10,REP,Trump,57.2
InsiderAdvantage,800,2,-0.3,Michigan,5,2024-10-09,DEM,Harris,46
InsiderAdvantage,800,2,-0.3,Michigan,5,2024-10-09,REP,Trump,48
InsiderAdvantage,800,2,-0.3,Wisconsin,5,2024-10-09,DEM,Harris,48
