pollster,sample_size,numeric_grade,pollscore,transparency_score,end_date,party,answer,pct
YouGov,2712,3,-1.1,9,2024-10-11,DEM,Harris,51
YouGov,2712,3,-1.1,9,2024-10-11,REP,Trump,48
Morning Consult,9556,1.9,-0.3,3,2024-10-10,DEM,Harris,50
Morning Consult,9556,1.9,-0.3,3,2024-10-10,REP,Trump,46
Marist,1401,2.9,-0.9,9,2024-10-10,DEM,Harris,52
Marist,1401,2.9,-0.9,9,2024-10-10,REP,Trump,47
Marist,1708,2.9,-0.9,9,2024-10-10,DEM,Harris,51
Marist,1708,2.9,-0.9,9,2024-10-10,REP,Trump,48
RMG Research,2945,2.3,-0.4,5,2024-10-10,DEM,Harris,50
RMG Research,2945,2.3,-0.4,5,2024-10-10,REP,Trump,47
Marquette Law School,780,3,-1.1,10,2024-10-10,DEM,Harris,50
Marquette Law School,780,3,-1.1,10,2024-10-10,REP,Trump,50
Marquette Law School,780,3,-1.1,10,2024-10-10,DEM,Harris,43
Marquette Law School,780,3,-1.1,10,2024-10-10,REP,Trump,39
Marquette Law School,780,3,-1.1,10,2024-10-10,IND,Kennedy,10
Marquette Law School,780,3,-1.1,10,2024-10-10,LIB,Oliver,3
Marquette Law School,780,3,-1.1,10,2024-10-10,GRE,Stein,1
Marquette Law School,780,3,-1.1,10,2024-10-10,IND,West,3
Marquette Law School,652,3,-1.1,10,2024-10-10,DEM,Harris,50
Marquette Law School,652,3,-1.1,10,2024-10-10,REP,Trump,50
Marquette Law School,652,3,-1.1,10,2024-10-10,DEM,Harris,44
Marquette Law School,652,3,-1.1,10,2024-10-10,REP,Trump,41
Marquette Law School,652,3,-1.1,10,2024-10-10,IND,Kennedy,9
Marquette Law School,652,3,-1.1,10,2024-10-10,LIB,Oliver,2
Marquette Law School,652,3,-1.1,10,2024-10-10,GRE,Stein,1
Marquette Law School,652,3,-1.1,10,2024-10-10,IND,West,2
Morning Consult,10188,1.9,-0.3,3,2024-10-09,DEM,Harris,50
Morning Consult,10188,1.9,-0.3,3,2024-10-09,REP,Trump,46
Yale Youth Poll,5500,NA,NA,4.5,2024-10-08,DEM,Harris,46.9
Yale Youth Poll,5500,NA,NA,4.5,2024-10-08,REP,Trump,45.6
Yale Youth Poll,5500,NA,NA,4.5,2024-10-08,GRE,Stein,1.5
Yale Youth Poll,5500,NA,NA,4.5,2024-10-08,LIB,Oliver,0.7
Yale Youth Poll,5500,NA,NA,4.5,2024-10-08,IND,West,1.2
co/efficient,2180,1.1,0.3,5,2024-10-08,DEM,Harris,49
co/efficient,2180,1.1,0.3,5,2024-10-08,REP,Trump,47
Morning Consult,10812,1.9,-0.3,3,2024-10-08,DEM,Harris,50
Morning Consult,10812,1.9,-0.3,3,2024-10-08,REP,Trump,46
Hart/POS,1000,2.6,-0.7,4,2024-10-08,DEM,Harris,46
Hart/POS,1000,2.6,-0.7,4,2024-10-08,REP,Trump,47
Hart/POS,1000,2.6,-0.7,4,2024-10-08,IND,Kennedy,2
Hart/POS,1000,2.6,-0.7,4,2024-10-08,IND,West,0
Hart/POS,1000,2.6,-0.7,4,2024-10-08,GRE,Stein,1
Hart/POS,1000,2.6,-0.7,4,2024-10-08,LIB,Oliver,1
Hart/POS,1000,2.6,-0.7,4,2024-10-08,CON,Terry,0
Hart/POS,1000,2.6,-0.7,4,2024-10-08,DEM,Harris,48
Hart/POS,1000,2.6,-0.7,4,2024-10-08,REP,Trump,48
Ipsos,2631,2.8,-0.9,9.5,2024-10-08,DEM,Harris,49
Ipsos,2631,2.8,-0.9,9.5,2024-10-08,REP,Trump,48
Ipsos,2631,2.8,-0.9,9.5,2024-10-08,IND,West,0
Ipsos,2631,2.8,-0.9,9.5,2024-10-08,GRE,Stein,1
Ipsos,2631,2.8,-0.9,9.5,2024-10-08,LIB,Oliver,1
Ipsos,2226,2.8,-0.9,9.5,2024-10-08,DEM,Harris,49
Ipsos,2226,2.8,-0.9,9.5,2024-10-08,REP,Trump,47
Ipsos,2226,2.8,-0.9,9.5,2024-10-08,IND,West,0
Ipsos,2226,2.8,-0.9,9.5,2024-10-08,GRE,Stein,1
Ipsos,2226,2.8,-0.9,9.5,2024-10-08,LIB,Oliver,1
Ipsos,1714,2.8,-0.9,9.5,2024-10-08,DEM,Harris,50
Ipsos,1714,2.8,-0.9,9.5,2024-10-08,REP,Trump,48
Ipsos,1714,2.8,-0.9,9.5,2024-10-08,IND,West,0
Ipsos,1714,2.8,-0.9,9.5,2024-10-08,GRE,Stein,0
Ipsos,1714,2.8,-0.9,9.5,2024-10-08,LIB,Oliver,1
Ipsos,2631,2.8,-0.9,9.5,2024-10-08,DEM,Harris,50
Ipsos,2631,2.8,-0.9,9.5,2024-10-08,REP,Trump,49
Ipsos,2226,2.8,-0.9,9.5,2024-10-08,DEM,Harris,50
Ipsos,2226,2.8,-0.9,9.5,2024-10-08,REP,Trump,49
Ipsos,1714,2.8,-0.9,9.5,2024-10-08,DEM,Harris,51
Ipsos,1714,2.8,-0.9,9.5,2024-10-08,REP,Trump,48
ActiVote,1000,NA,NA,8,2024-10-08,DEM,Harris,49.4
ActiVote,1000,NA,NA,8,2024-10-08,REP,Trump,50.6
YouGov,1414,3,-1.1,9,2024-10-07,DEM,Harris,47
YouGov,1414,3,-1.1,9,2024-10-07,REP,Trump,44
YouGov,1414,3,-1.1,9,2024-10-07,GRE,Stein,1
YouGov,1414,3,-1.1,9,2024-10-07,IND,West,0
YouGov,1230,3,-1.1,9,2024-10-07,DEM,Harris,49
YouGov,1230,3,-1.1,9,2024-10-07,REP,Trump,45
YouGov,1230,3,-1.1,9,2024-10-07,GRE,Stein,1
YouGov,1230,3,-1.1,9,2024-10-07,IND,West,0
Morning Consult,11739,1.9,-0.3,3,2024-10-07,DEM,Harris,51
Morning Consult,11739,1.9,-0.3,3,2024-10-07,REP,Trump,45
Ipsos,1272,2.8,-0.9,9.5,2024-10-07,DEM,Harris,42
Ipsos,1272,2.8,-0.9,9.5,2024-10-07,REP,Trump,38
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,DEM,Harris,46
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,REP,Trump,43
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,DEM,Harris,47
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,REP,Trump,45
Ipsos,1272,2.8,-0.9,9.5,2024-10-07,DEM,Harris,48
Ipsos,1272,2.8,-0.9,9.5,2024-10-07,REP,Trump,47
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,DEM,Harris,50
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,REP,Trump,48
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,DEM,Harris,51
Ipsos,1076,2.8,-0.9,9.5,2024-10-07,REP,Trump,49
Redfield & Wilton Strategies,1918,1.8,0.4,9,2024-10-06,DEM,Harris,47.72
Redfield & Wilton Strategies,1918,1.8,0.4,9,2024-10-06,REP,Trump,45.99
Redfield & Wilton Strategies,1918,1.8,0.4,9,2024-10-06,LIB,Oliver,0.7
Redfield & Wilton Strategies,1918,1.8,0.4,9,2024-10-06,GRE,Stein,0.52
Research Co.,1001,2.4,-0.5,6,2024-10-06,DEM,Harris,49
Research Co.,1001,2.4,-0.5,6,2024-10-06,REP,Trump,45
Morning Consult,11353,1.9,-0.3,3,2024-10-06,DEM,Harris,51
Morning Consult,11353,1.9,-0.3,3,2024-10-06,REP,Trump,46
Pew,4025,2.5,-0.4,8,2024-10-06,DEM,Harris,48
Pew,4025,2.5,-0.4,8,2024-10-06,REP,Trump,47
Pew,4025,2.5,-0.4,8,2024-10-06,IND,Kennedy,2
Pew,4025,2.5,-0.4,8,2024-10-06,LIB,Oliver,1
Pew,4025,2.5,-0.4,8,2024-10-06,GRE,Stein,1
Pew,4025,2.5,-0.4,8,2024-10-06,IND,West,0
Pew,4025,2.5,-0.4,8,2024-10-06,DEM,Harris,50
Pew,4025,2.5,-0.4,8,2024-10-06,REP,Trump,49
Siena/NYT,3385,3,-1.5,9,2024-10-06,DEM,Harris,49
Siena/NYT,3385,3,-1.5,9,2024-10-06,REP,Trump,46
Siena/NYT,3385,3,-1.5,9,2024-10-06,DEM,Harris,47
Siena/NYT,3385,3,-1.5,9,2024-10-06,REP,Trump,44
Siena/NYT,3385,3,-1.5,9,2024-10-06,GRE,Stein,1
Siena/NYT,3385,3,-1.5,9,2024-10-06,LIB,Oliver,1
Morning Consult,10844,1.9,-0.3,3,2024-10-05,DEM,Harris,51
Morning Consult,10844,1.9,-0.3,3,2024-10-05,REP,Trump,45
TIPP,997,1.8,-0.4,3,2024-10-04,DEM,Harris,49
TIPP,997,1.8,-0.4,3,2024-10-04,REP,Trump,46
TIPP,997,1.8,-0.4,3,2024-10-04,DEM,Harris,48
TIPP,997,1.8,-0.4,3,2024-10-04,REP,Trump,45
TIPP,997,1.8,-0.4,3,2024-10-04,IND,Kennedy,2
TIPP,997,1.8,-0.4,3,2024-10-04,IND,West,0
TIPP,997,1.8,-0.4,3,2024-10-04,GRE,Stein,0
YouGov,1150,3,-1.1,9,2024-10-04,DEM,Harris,46
YouGov,1150,3,-1.1,9,2024-10-04,REP,Trump,45
YouGov,1150,3,-1.1,9,2024-10-04,IND,West,1
YouGov,1150,3,-1.1,9,2024-10-04,GRE,Stein,1
YouGov,1150,3,-1.1,9,2024-10-04,LIB,Oliver,1
YouGov,1032,3,-1.1,9,2024-10-04,DEM,Harris,47
YouGov,1032,3,-1.1,9,2024-10-04,REP,Trump,47
YouGov,1032,3,-1.1,9,2024-10-04,IND,West,1
YouGov,1032,3,-1.1,9,2024-10-04,GRE,Stein,1
YouGov,1032,3,-1.1,9,2024-10-04,LIB,Oliver,1
YouGov,1151,3,-1.1,9,2024-10-04,DEM,Harris,48
YouGov,1151,3,-1.1,9,2024-10-04,REP,Trump,46
YouGov,1033,3,-1.1,9,2024-10-04,DEM,Harris,48
YouGov,1033,3,-1.1,9,2024-10-04,REP,Trump,47
Big Village,1013,1.2,1.7,9,2024-10-04,DEM,Harris,44.5
Big Village,1013,1.2,1.7,9,2024-10-04,REP,Trump,41.5
Big Village,841,1.2,1.7,9,2024-10-04,DEM,Harris,48.7
Big Village,841,1.2,1.7,9,2024-10-04,REP,Trump,44.6
Big Village,755,1.2,1.7,9,2024-10-04,DEM,Harris,49.9
Big Village,755,1.2,1.7,9,2024-10-04,REP,Trump,46.4
Morning Consult,10454,1.9,-0.3,3,2024-10-04,DEM,Harris,51
Morning Consult,10454,1.9,-0.3,3,2024-10-04,REP,Trump,45
Noble Predictive Insights,2290,2.4,-0.4,6,2024-10-04,DEM,Harris,49
Noble Predictive Insights,2290,2.4,-0.4,6,2024-10-04,REP,Trump,46
Noble Predictive Insights,2290,2.4,-0.4,6,2024-10-04,LIB,Oliver,0
Noble Predictive Insights,2290,2.4,-0.4,6,2024-10-04,GRE,Stein,1
Noble Predictive Insights,2290,2.4,-0.4,6,2024-10-04,DEM,Harris,49
Noble Predictive Insights,2290,2.4,-0.4,6,2024-10-04,REP,Trump,47
Noble Predictive Insights,2560,2.4,-0.4,6,2024-10-04,DEM,Harris,47
Noble Predictive Insights,2560,2.4,-0.4,6,2024-10-04,REP,Trump,46
Noble Predictive Insights,2560,2.4,-0.4,6,2024-10-04,DEM,Harris,47
Noble Predictive Insights,2560,2.4,-0.4,6,2024-10-04,REP,Trump,45
Noble Predictive Insights,2560,2.4,-0.4,6,2024-10-04,LIB,Oliver,1
Noble Predictive Insights,2560,2.4,-0.4,6,2024-10-04,GRE,Stein,1
Data for Progress,1211,2.6,-1.2,10,2024-10-03,DEM,Harris,49
Data for Progress,1211,2.6,-1.2,10,2024-10-03,REP,Trump,46
Cygnal,1500,2.1,-1.1,4,2024-10-03,DEM,Harris,47.2
Cygnal,1500,2.1,-1.1,4,2024-10-03,REP,Trump,44.5
Cygnal,1500,2.1,-1.1,4,2024-10-03,IND,Kennedy,2
Cygnal,1500,2.1,-1.1,4,2024-10-03,GRE,Stein,1
Cygnal,1500,2.1,-1.1,4,2024-10-03,IND,West,1
Cygnal,1500,2.1,-1.1,4,2024-10-03,LIB,Oliver,1
Cygnal,1500,2.1,-1.1,4,2024-10-03,DEM,Harris,50.3
Cygnal,1500,2.1,-1.1,4,2024-10-03,REP,Trump,47
Morning Consult,10775,1.9,-0.3,3,2024-10-03,DEM,Harris,50
Morning Consult,10775,1.9,-0.3,3,2024-10-03,REP,Trump,45
RMG Research,2965,2.3,-0.4,5,2024-10-03,DEM,Harris,49
RMG Research,2965,2.3,-0.4,5,2024-10-03,REP,Trump,49
Morning Consult,11085,1.9,-0.3,3,2024-10-02,DEM,Harris,50
Morning Consult,11085,1.9,-0.3,3,2024-10-02,REP,Trump,45
ActiVote,1000,NA,NA,8,2024-10-02,DEM,Harris,50.7
ActiVote,1000,NA,NA,8,2024-10-02,REP,Trump,49.3
YouGov,1463,3,-1.1,9,2024-10-01,DEM,Harris,48
YouGov,1463,3,-1.1,9,2024-10-01,REP,Trump,45
YouGov,1463,3,-1.1,9,2024-10-01,GRE,Stein,1
YouGov,1463,3,-1.1,9,2024-10-01,IND,West,0
YouGov,1261,3,-1.1,9,2024-10-01,DEM,Harris,49
YouGov,1261,3,-1.1,9,2024-10-01,REP,Trump,46
YouGov,1261,3,-1.1,9,2024-10-01,GRE,Stein,1
YouGov,1261,3,-1.1,9,2024-10-01,IND,West,0
Emerson,1000,2.9,-1.1,7,2024-10-01,DEM,Harris,50.2
Emerson,1000,2.9,-1.1,7,2024-10-01,REP,Trump,48.6
Morning Consult,11274,1.9,-0.3,3,2024-10-01,DEM,Harris,50
Morning Consult,11274,1.9,-0.3,3,2024-10-01,REP,Trump,46
Marist,1294,2.9,-0.9,9,2024-10-01,DEM,Harris,50
Marist,1294,2.9,-0.9,9,2024-10-01,REP,Trump,48
Marist,1514,2.9,-0.9,9,2024-10-01,DEM,Harris,50
Marist,1514,2.9,-0.9,9,2024-10-01,REP,Trump,47
Susquehanna,1001,2.3,-0.3,5.5,2024-10-01,DEM,Harris,49
Susquehanna,1001,2.3,-0.3,5.5,2024-10-01,REP,Trump,44
Morning Consult,11568,1.9,-0.3,3,2024-09-30,DEM,Harris,50
Morning Consult,11568,1.9,-0.3,3,2024-09-30,REP,Trump,46
Redfield & Wilton Strategies,1616,1.8,0.4,9,2024-09-29,DEM,Harris,48
Redfield & Wilton Strategies,1616,1.8,0.4,9,2024-09-29,REP,Trump,46
Redfield & Wilton Strategies,1616,1.8,0.4,9,2024-09-29,IND,Kennedy,1
Redfield & Wilton Strategies,1616,1.8,0.4,9,2024-09-29,LIB,Oliver,0
Redfield & Wilton Strategies,1616,1.8,0.4,9,2024-09-29,GRE,Stein,0
Morning Consult,11381,1.9,-0.3,3,2024-09-29,DEM,Harris,51
Morning Consult,11381,1.9,-0.3,3,2024-09-29,REP,Trump,46
Leger,837,2,0,9,2024-09-29,DEM,Harris,51
Leger,837,2,0,9,2024-09-29,REP,Trump,47
Leger,888,2,0,9,2024-09-29,DEM,Harris,50
Leger,888,2,0,9,2024-09-29,REP,Trump,48
Morning Consult,11289,1.9,-0.3,3,2024-09-28,DEM,Harris,50
Morning Consult,11289,1.9,-0.3,3,2024-09-28,REP,Trump,45
Morning Consult,11003,1.9,-0.3,3,2024-09-27,DEM,Harris,50
Morning Consult,11003,1.9,-0.3,3,2024-09-27,REP,Trump,45
McCourtney Institute/YouGov,848,3,-1.1,6.5,2024-09-27,DEM,Harris,48
McCourtney Institute/YouGov,848,3,-1.1,6.5,2024-09-27,REP,Trump,45
Redfield & Wilton Strategies,2021,1.8,0.4,9,2024-09-26,DEM,Harris,47
Redfield & Wilton Strategies,2021,1.8,0.4,9,2024-09-26,REP,Trump,44
Redfield & Wilton Strategies,2021,1.8,0.4,9,2024-09-26,LIB,Oliver,1
Redfield & Wilton Strategies,2021,1.8,0.4,9,2024-09-26,GRE,Stein,1
Morning Consult,11155,1.9,-0.3,3,2024-09-26,DEM,Harris,50
Morning Consult,11155,1.9,-0.3,3,2024-09-26,REP,Trump,45
Outward Intelligence,1735,NA,NA,4,2024-09-26,DEM,Harris,53
Outward Intelligence,1735,NA,NA,4,2024-09-26,REP,Trump,47
Outward Intelligence,1735,NA,NA,4,2024-09-26,DEM,Harris,50.8
Outward Intelligence,1735,NA,NA,4,2024-09-26,REP,Trump,45
Outward Intelligence,1735,NA,NA,4,2024-09-26,IND,Kennedy,2.6
Outward Intelligence,1735,NA,NA,4,2024-09-26,GRE,Stein,0.5
Outward Intelligence,1735,NA,NA,4,2024-09-26,IND,West,0.6
Outward Intelligence,1735,NA,NA,4,2024-09-26,LIB,Oliver,0.5
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,DEM,Harris,52
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,REP,Trump,45
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,DEM,Harris,49
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,REP,Trump,44
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,IND,Kennedy,2
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,LIB,Oliver,1
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,GRE,Stein,0
Echelon Insights,1005,2.7,-0.8,9,2024-09-25,IND,West,0
Big Village,2021,1.2,1.7,9,2024-09-25,DEM,Harris,45.6
Big Village,2021,1.2,1.7,9,2024-09-25,REP,Trump,41.1
Big Village,1663,1.2,1.7,9,2024-09-25,DEM,Harris,48.6
Big Village,1663,1.2,1.7,9,2024-09-25,REP,Trump,43.9
Big Village,1524,1.2,1.7,9,2024-09-25,DEM,Harris,49.5
Big Village,1524,1.2,1.7,9,2024-09-25,REP,Trump,45.7
RMG Research,2952,2.3,-0.4,5,2024-09-25,DEM,Harris,50
RMG Research,2952,2.3,-0.4,5,2024-09-25,REP,Trump,48
Morning Consult,10966,1.9,-0.3,3,2024-09-25,DEM,Harris,51
Morning Consult,10966,1.9,-0.3,3,2024-09-25,REP,Trump,45
Morning Consult,11167,1.9,-0.3,3,2024-09-24,DEM,Harris,51
Morning Consult,11167,1.9,-0.3,3,2024-09-24,REP,Trump,45
YouGov,1424,3,-1.1,9,2024-09-24,DEM,Harris,47
YouGov,1424,3,-1.1,9,2024-09-24,REP,Trump,44
YouGov,1424,3,-1.1,9,2024-09-24,GRE,Stein,1
YouGov,1424,3,-1.1,9,2024-09-24,IND,West,0
YouGov,1220,3,-1.1,9,2024-09-24,DEM,Harris,49
YouGov,1220,3,-1.1,9,2024-09-24,REP,Trump,46
YouGov,1220,3,-1.1,9,2024-09-24,GRE,Stein,1
YouGov,1220,3,-1.1,9,2024-09-24,IND,West,0
Clarity,1000,1.6,-0.2,1,2024-09-24,DEM,Harris,51
Clarity,1000,1.6,-0.2,1,2024-09-24,REP,Trump,44
Clarity,1000,1.6,-0.2,1,2024-09-24,DEM,Harris,58
Clarity,1000,1.6,-0.2,1,2024-09-24,REP,Vance,37
ActiVote,1000,NA,NA,8,2024-09-24,DEM,Harris,51.4
ActiVote,1000,NA,NA,8,2024-09-24,REP,Trump,48.6
Morning Consult,11157,1.9,-0.3,3,2024-09-23,DEM,Harris,51
Morning Consult,11157,1.9,-0.3,3,2024-09-23,REP,Trump,45
Morning Consult,11057,1.9,-0.3,3,2024-09-22,DEM,Harris,50
Morning Consult,11057,1.9,-0.3,3,2024-09-22,REP,Trump,45
Ipsos,871,2.8,-0.9,9.5,2024-09-22,DEM,Harris,46.61
Ipsos,871,2.8,-0.9,9.5,2024-09-22,REP,Trump,40.48
Ipsos,785,2.8,-0.9,9.5,2024-09-22,DEM,Harris,50
Ipsos,785,2.8,-0.9,9.5,2024-09-22,REP,Trump,44
Ipsos,1029,2.8,-0.9,9.5,2024-09-22,DEM,Harris,42
Ipsos,1029,2.8,-0.9,9.5,2024-09-22,REP,Trump,38
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,DEM,Harris,48
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,REP,Trump,47
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,GRE,Stein,1
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,LIB,Oliver,2
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,DEM,Harris,47
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,REP,Trump,47
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,GRE,Stein,1
CNN/SSRS,2074,2.8,-0.6,10,2024-09-22,LIB,Oliver,2
Quinnipiac,1728,2.8,-0.5,9,2024-09-22,DEM,Harris,47
Quinnipiac,1728,2.8,-0.5,9,2024-09-22,REP,Trump,48
Quinnipiac,1728,2.8,-0.5,9,2024-09-22,GRE,Stein,1
Quinnipiac,1728,2.8,-0.5,9,2024-09-22,LIB,Oliver,1
Quinnipiac,1728,2.8,-0.5,9,2024-09-22,DEM,Harris,48
Quinnipiac,1728,2.8,-0.5,9,2024-09-22,REP,Trump,48
Morning Consult,10840,1.9,-0.3,3,2024-09-21,DEM,Harris,50
Morning Consult,10840,1.9,-0.3,3,2024-09-21,REP,Trump,45
YouGov,3129,3,-1.1,9,2024-09-20,DEM,Harris,52
YouGov,3129,3,-1.1,9,2024-09-20,REP,Trump,48
Morning Consult,10539,1.9,-0.3,3,2024-09-20,DEM,Harris,49
Morning Consult,10539,1.9,-0.3,3,2024-09-20,REP,Trump,46
Morning Consult,10528,1.9,-0.3,3,2024-09-19,DEM,Harris,50
Morning Consult,10528,1.9,-0.3,3,2024-09-19,REP,Trump,46
RMG Research,2969,2.3,-0.4,5,2024-09-19,DEM,Harris,50
RMG Research,2969,2.3,-0.4,5,2024-09-19,REP,Trump,48
Outward Intelligence,1880,NA,NA,4,2024-09-19,DEM,Harris,52.9
Outward Intelligence,1880,NA,NA,4,2024-09-19,REP,Trump,47.1
